Code,Categorie,Nom fédération,Nom catégorie
"FED_133",1,"Fédération Française de rugby","Fédération unisport olympique"
"FED_134",1,"FF de karaté et disciplines associées","Fédération unisport olympique"
"FED_135",1,"FF de la montagne et de l'escalade","Fédération unisport olympique"
"FED_136",1,"FF de roller et skateboard","Fédération unisport olympique"
"FED_137",1,"FF de surf","Fédération unisport olympique"
"FED_138",1,"FF de baseball et softball","Fédération unisport olympique"
"FED_201",2,"Fédération Française d'aéromodélisme","Fédération unisport non olympique"
"FED_202",2,"Fédération Nationale aéronautique","Fédération unisport non olympique"
"FED_203",2,"Fédération Française d'aérostation","Fédération unisport non olympique"
"FED_204",2,"Fédération Française d'aïkido, aïkibudo et affinitaires","Fédération unisport non olympique"
"FED_205",2,"Fédération Française d'aïkido et de budo","Fédération unisport non olympique"
"FED_206",2,"Fédération Française du sport automobile","Fédération unisport non olympique"
"FED_207",2,"Fédération Française de jeu de balle au tambourin","Fédération unisport non olympique"
"FED_208",2,"Fédération Française de ballon au poing","Fédération unisport non olympique"
"FED_209",2,"Fédération Française de ball-trap","Fédération unisport non olympique"
"FED_210",2,"Fédération Française de billard","Fédération unisport non olympique"
"FED_211",2,"Fédération Française du sport boules","Fédération unisport non olympique"
"FED_212",2,"Fédération Française de savate, boxe française et disciplines associées","Fédération unisport non olympique"
"FED_213",2,"Fédération Française de bowling et de sports de quilles","Fédération unisport non olympique"
"FED_214",2,"Fédération Française de char à voile","Fédération unisport non olympique"
"FED_215",2,"Fédération Française de la course camarguaise","Fédération unisport non olympique"
"FED_216",2,"Fédération Française de la course landaise","Fédération unisport non olympique"
"FED_217",2,"Fédération Française de course d'orientation","Fédération unisport non olympique"
"FED_218",2,"Fédération Française de cyclotourisme","Fédération unisport non olympique"
"FED_219",2,"Fédération Française de danse","Fédération unisport non olympique"
"FED_220",2,"Fédération Française des échecs","Fédération unisport non olympique"
"FED_221",2,"Fédération Française d'études et sports sous-marins","Fédération unisport non olympique"
"FED_222",2,"Fédération Française de football américain","Fédération unisport non olympique"
"FED_224",2,"Fédération Française de giraviation","Fédération unisport non olympique"
"FED_226",2,"Fédération Française de javelot tir sur cible","Fédération unisport non olympique"
"FED_227",2,"Fédération Française de jeu de paume","Fédération unisport non olympique"
"FED_228",2,"Fédération Française de joutes et sauvetage nautique","Fédération unisport non olympique"
"FED_231",2,"Fédération Française de longue paume","Fédération unisport non olympique"
"FED_233",2,"Fédération Française de motocyclisme","Fédération unisport non olympique"
"FED_234",2,"Fédération Française motonautique","Fédération unisport non olympique"
"FED_237",2,"Fédération Française de parachutisme","Fédération unisport non olympique"
"FED_241",2,"Fédération Française de pelote basque","Fédération unisport non olympique"
"FED_242",2,"Fédération Française de pétanque et jeu provençal","Fédération unisport non olympique"
"FED_243",2,"Fédération Française de planeur ultra-léger motorisé","Fédération unisport non olympique"
"FED_244",2,"Fédération Française de Pulka et Traîneau à Chiens","Fédération unisport non olympique"
"FED_245",2,"Fédération Française de la randonnée pédestre","Fédération unisport non olympique"
"FED_248",2,"Fédération Française de rugby à XIII","Fédération unisport non olympique"
"FED_249",2,"Fédération Française de sauvetage et secourisme","Fédération unisport non olympique"
"FED_250",2,"Fédération Française de ski nautique","Fédération unisport non olympique"
"FED_251",2,"Fédération Française de spéléologie","Fédération unisport non olympique"
"FED_252",2,"Fédération Française de squash","Fédération unisport non olympique"
"FED_254",2,"Fédérationdes arts énergétiques et martiaux chinois","Fédération unisport non olympique"
"FED_255",2,"Fédération Française des sports de traîneau, de ski pulka et de cross canins ","Fédération unisport non olympique"
"FED_256",2,"Fédération Française de twirling bâton","Fédération unisport non olympique"
"FED_257",2,"Fédération Française de vol à voile","Fédération unisport non olympique"
"FED_258",2,"Fédération Française de vol libre","Fédération unisport non olympique"
